"","Title","PublicationDate","Authors","Subject","Keywords","DataType","Objectives","PeriodCovered","Affiliations","NameOfDataverse","DOI"
"82","Effects of the Epichloë fungal endophyte symbiosis with Schedonorus pratensis on host grass invasiveness","2015-04-20","Shukla, Kruti; Hager, Heather A.; Yurkonis, Kathryn A.; Newman, Jonathan A.","Earth and Environmental Sciences","Community composition; fescue; Festuca arundinacea; Festuca pratensis; Fungal endophyte; Invasion; Invertebrates; Lolium pratense; Meadow fescue; Neotyphodium coenophialum; Neotyphodium uncinatum; Old-field; Schedonorus arundinaceus; Schedonorus phoenix; Schedonorus pratensis; Tall Fescue; Vegetation; Epichloë","Experimental time series: Plant community census; Invertebrate community census; Observational: temperature and precipitation data","We investigated the effect of grass-endophyte symbiosis on host grass invasiveness in Schedonorus pratesis (meadow fescue)-Epichloë uncinatum (se
ven forage cultivars) and S. arundinaceus (tall fescue)-E. coenophialum (two cultivars) that were developed with high or low endophyte infection rate.  Seeds were broadcast seeded into 2 x 2-m plots in a tilled, old-field grassland community in a completely randomised block experimental design.  Schedonorus abundance, endophyte infection rate, and the co-occurring vegetation were sampled 3, 4, 5, and 6 yr after establishment, and the aboveground invertebrate community was sampled in S. pratensis plots 3 and 4 yr after establishment.","2010 to  2013","School of Environmental Science. Ontario Agricultural College . University of Guelph.; School of Environmental Science. Ontario Agricultural College . University of Guelph.; School of Environmental Science. Ontario Agricultural College . University of Guelph; Department of Biology. University of North Dakota; School of Environmental Science. Ontario Agricultural College . University of Guelph.","School of Environmental Sciences","hdl:10864/10946"
"83","Effect of escaped, naturalized Miscanthus sacchariflorus on resident vegetation and soil seed bank","2014-10-21","Hager, Heather A.; Rupert, R.; Quinn, L. D.; Newman, Jonathan","Earth and Environmental Sciences","Plant community census; seed bank census; vegetation characteristics","Experimental data","We compared the vegetation communities and soil seed bank of paired areas invaded and uninvaded by escaped <i>Miscanthus sacchariflorus </i> at 10 sites in Ontario, Canada, to determine the effects of this potentially invasive grass on the resident plant community.","2012 to  2012","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Energy Biosciences Institute. University of Illinois.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","hdl:10864/10805"
"84","Effects of elevated CO2 on photosynthetic traits of native and invasive C3 and C4 grasses (2012 and 2013, south-central Ontario, Canada)","2015-11-17","Hager, Heather A.; Ryan, Geraldine D.; Kovacs, Hajnal M.; Newman, Jonathan A.","Earth and Environmental Sciences; Medicine, Health and Life Sciences","carbon dioxide; climate change; C:N ratio; CO2; conductance; grass; invasive; native; non-native; photosynthesis; photosynthetic traits; root biomass; shoot biomass; specific leaf area; stomatal density; tiller production","Experimental data","We assessed the responses of photosynthetic traits of native and invasive C3 and C4 grasses to atmospheric carbon dioxide levels. We used three levels of CO2 (390, 700, and 1000 ppm) in a closed chamber experiment and tested 16 grass species (eight C3 plants and eight C4) classified as noninvasive or invasive. We tested the hypotheses that invasive species would be more productive under elevated CO2 and that the strongest responses would be seen in C3 plants.","2012-10 to  2013-02","Department of Integrative Biology. College of Biological Sciences. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Integrative Biology. College of Biological Sciences. University of Guelph.","School of Environmental Sciences","hdl:10864/TZBTY"
"85","Winter warming effects on overwinter survival, energy use, and spring emergence of the bean leaf beetle Cerotoma trifurcata 2010 to 2013 [South-central Ontario, Canada]","2015-11-13","Berzitis, Emily A.; Hunter, Kaelyn; Hager, Heather A.; Sinclair, Brent J.; Hallett, Rebecca H.; Newman, Jonathan A.","Earth and Environmental Sciences","agriculture; bean leaf beetle; Cerotoma trifurcata; climate change; Chrysomelidae; entomology; fluctuating thermal regimes; Ontario; overwintering energetics; phenology; range expansion; soybean pest; spring emergence; temperature increase; winter warming experiment","Survival census; Experimental data","The potential effects of warmer winters and fluctuating thermal regimes on overwintering bean leaf beetle (Cerotoma trifurcata) using field and laboratory experiments was assessed. The 3 year (Winter of 2010-2011, 2011-2012, and 2012-2013) field experiment involved three warming levels: heated ~4 degrees Celsius above ambient, unheated with snow cover left intact, and unheated with snow cover removed. Survival and date of emergence were examined in all years, and beetle lipid content was analyzed in one year to determine rates of energy use. The laboratory experiment assessed effects of frequency and duration of fluctuating thermal regimes on survival.","2010 to  2013","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Integrative Biology. College of Biological Sciences. University of Guelph.; Department of Biology. Western University.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Integrative Biology. College of Biological Sciences. University of Guelph.","School of Environmental Sciences","hdl:10864/CW2U8"
"86","Management of bentgrass cultivars for activated resistance to Microdochium nivale under climate change conditions - Amino acid concentrations","2017-08-22","Stricker, Sara Marie; Hsiang, Tom; Bertrand, Annick","Agricultural Sciences; Earth and Environmental Sciences","disease ratings; amino acid content; turfgrass; fungal pathogen; climate change conditions","Experimental; observation","This research investigated the potential impact of predicted climate change on the fungal pathogen Microdochium nivale, which causes Microdochium patch on turfgrasses in temperate climates. Turfgrasses were inoculated with M. nivale and assessed visually on a scale of 0-100 percent yellowed, when under various simulations of predicted climate change conditions. Data collected during this investigation includes amino acid concentrations, field trial data, and sugar content data. This dataset includes only the amino acid concentration data. Please see Related Datasets for links to the field trial and sugar content datasets."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Agriculture and Agri-Food Canada","School of Environmental Sciences","doi:10.5683/SP/73AJUT"
"87","Management of bentgrass cultivars for activated resistance to Microdochium nivale under climate change conditions - Field trials","2017-08-22","Stricker, Sara Marie; Hsiang, Tom; Bertrand, Annick","Agricultural Sciences; Earth and Environmental Sciences","disease ratings; amino acid content; turfgrass; fungal pathogen; climate change conditions","Experimental; observation","This research investigated the potential impact of predicted climate change on the fungal pathogen Microdochium nivale, which causes Microdochium patch on turfgrasses in temperate climates. Turfgrasses were inoculated with M. nivale and assessed visually on a scale of 0-100 percent yellowed, when under various simulations of predicted climate change conditions. Data collected during this investigation includes amino acid concentrations, field trial data, and sugar content data. This dataset includes only the field trial data. Please see Related Datasets for links to the amino acid concentrations and sugar content datasets."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Agriculture and Agri-Food Canada","School of Environmental Sciences","doi:10.5683/SP/LNSIR7"
"88","Management of bentgrass cultivars for activated resistance to Microdochium nivale under climate change conditions - Sugar content","2017-08-22","Stricker, Sara Marie; Hsiang, Tom; Bertrand, Annick","Agricultural Sciences; Earth and Environmental Sciences","disease ratings; amino acid content; turfgrass; fungal pathogen; climate change conditions","Experimental; observation","This research investigated the potential impact of predicted climate change on the fungal pathogen Microdochium nivale, which causes Microdochium patch on turfgrasses in temperate climates. Turfgrasses were inoculated with M. nivale and assessed visually on a scale of 0-100 percent yellowed, when under various simulations of predicted climate change conditions. Data collected during this investigation includes amino acid concentrations, field trial data, and sugar content data. This dataset includes only the sugar content data. Please see Related Datasets for links to the amino acid concentrations and field trial datasets."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Agriculture and Agri-Food Canada","School of Environmental Sciences","doi:10.5683/SP/U3YGQN"
"89","Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments","2020-08-12","Ross, Cody; Ali, Genevieve; Oswald, Claire; International Institute for Sustainable Development Experimental Lakes Area; Courchesne, Francois; The New Zealand National Institute of Water and Atmospheric Research","Earth and Environmental Sciences","hydrology; catchment; discharge; rainfall; rainfall-runoff","catchment discharge data; meteorological data","This data includes catchment discharge and meteorological data, which has multiple applications. In ""Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments"" this data was used to assess nonlinearities in rainfall-runoff relationships.","2013-03-09 to  2014-10-16","Department of Geological Sciences. University of Manitoba.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Geography. Ryerson University.; NA; Département de géographie. Université de Montréal.; NA","School of Environmental Sciences","doi:10.5683/SP2/LAGRYJ"
"90","Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments","2020-08-12","Ross, Cody; Ali, Genevieve; Oswald, Claire; International Institute for Sustainable Development Experimental Lakes Area; Courchesne, Francois; The New Zealand National Institute of Water and Atmospheric Research","Earth and Environmental Sciences","hydrology; catchment; discharge; rainfall; rainfall-runoff","catchment discharge data; meteorological data","This data includes catchment discharge and meteorological data, which has multiple applications. In ""Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments"" this data was used to assess nonlinearities in rainfall-runoff relationships.","2008-04-25 to  2009-10-27","Department of Geological Sciences. University of Manitoba.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Geography. Ryerson University.; NA; Département de géographie. Université de Montréal.; NA","School of Environmental Sciences","doi:10.5683/SP2/LAGRYJ"
"91","Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments","2020-08-12","Ross, Cody; Ali, Genevieve; Oswald, Claire; International Institute for Sustainable Development Experimental Lakes Area; Courchesne, Francois; The New Zealand National Institute of Water and Atmospheric Research","Earth and Environmental Sciences","hydrology; catchment; discharge; rainfall; rainfall-runoff","catchment discharge data; meteorological data","This data includes catchment discharge and meteorological data, which has multiple applications. In ""Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments"" this data was used to assess nonlinearities in rainfall-runoff relationships.","2006-01-01 to  2008-12-16","Department of Geological Sciences. University of Manitoba.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Geography. Ryerson University.; NA; Département de géographie. Université de Montréal.; NA","School of Environmental Sciences","doi:10.5683/SP2/LAGRYJ"
"92","Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments","2020-08-12","Ross, Cody; Ali, Genevieve; Oswald, Claire; International Institute for Sustainable Development Experimental Lakes Area; Courchesne, Francois; The New Zealand National Institute of Water and Atmospheric Research","Earth and Environmental Sciences","hydrology; catchment; discharge; rainfall; rainfall-runoff","catchment discharge data; meteorological data","This data includes catchment discharge and meteorological data, which has multiple applications. In ""Evaluating the ubiquity of thresholds in rainfall-runoff response across contrasting environments"" this data was used to assess nonlinearities in rainfall-runoff relationships.","1997-07 to  2001-12","Department of Geological Sciences. University of Manitoba.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Geography. Ryerson University.; NA; Département de géographie. Université de Montréal.; NA","School of Environmental Sciences","doi:10.5683/SP2/LAGRYJ"
"93","Brown marmorated stink bug survey, diagnostics, phenology, biocontrol, insecticides, and RNAi test data for BMSB management in Ontario","2021-06-18","Wiesner, Abigail; Fraser, Hannah; Harris, Jared; Auty, Lillian; MacDonald, Caitlin; Gariepy, Tara; Gradish, Angela; Frewin, Andrew; Scott-Dupree, Cynthia","Agricultural Sciences","parasitoid wasp; Trissolcus japonicus; native stink bugs; invasive stink bug; brown marmorated stink bug","Experimental data","<p>Brown marmorated stink bug (BMSB), Halyomorpha halys Stål, is an invasive pest native to East Asia. First identified in Pennsylvania in 2001, it has now been detected in 44 states and 3 provinces (Ontario, Quebec and British Columbia), and is of economic importance throughout the Mid-Atlantic US. There are more than 170 North American plant hosts, including broad spectrum of important fruit (e.g., apples and grapes), vegetable and field crops, as well as landscape trees and shrubs. All are important agricultural commodities in Ontario. The presence of increasing numbers of BMSB in close proximity to high risk agricultural crops continues to heighten grower concerns. Effective and novel management strategies need to be identified and surveys continued.</p><p>The primary goal of this project was to identify sustainable management strategies for BMSB in crops immediately at risk in Ontario (i.e., apples, tender fruits and grapes) and continue to survey for presence of the invasive pest in at risk crops with grower cooperation. Objectives: 1) Investigate sustainable management strategies for BMSB including: i) Chemical control (oral and contact toxicity, methods of delivering products insecticides (singly and in combinations), attract and kill combinations, and ii) Genetic control - RNAi tactics; 2) Development of diagnostic methods in fruits (apples, tender fruits and grapes) to improve our ability to identify BMSB damage in the field (differentiate from indigenous stink bug damage). 3) Continue to survey for BMSB in at risk crops focusing on a program that involves growers being responsible for operation of pheromone traps on their orchards/farms.</p>","2016-10 to  2021-03","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Agriculture and Agri-Food Canada, London.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP2/HMV5RF"
"94","Supplemental data for: Time Evolution of the Surface Urban Heat Island","2021-09-15","Stewart, Iain D.; Krayenhoff, E. Scott; Lachapelle, J.","Earth and Environmental Sciences","Surface urban heat island; numerical simulation; satellite thermal remote sensing; diurnal evolution","Simulated time series","This dataset includes diurnal urban and rural surface temperature values for a variety of geography locations, seasons, meteorological conditions, and urban neighbourhood types. The purpose is to assess the time evolution of the surface urban heat island for a variety of scenarios, and furthermore quantify the differences arising from different definitions of ""the"" urban surface temperature."," to  ","Global Cities Institute. University of Toronto.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/YZEVKI"
"95","Yield to the Data: Some Perspective on Crop Productivity and Pesticides - Excel user form","2022-01-10","Washuck, Nicole; Hanson, Mark; Prosser, Ryan","Agricultural Sciences","pesticides; food security; yield per hectare; agriculture","Data extracted from literature on the effect of pesticides of crop yield per hectare","The hectares of habitat protected and the number of adults and children fed in one year were calculated for each of the six crop types for Canada and United States. The calculations were based on the 50th centile of the cumulative frequency distributions of change in crop yield due to pesticide treatment for each crop type. An editable interactive table was created using Microsoft Excel that would allow individuals to determine how pesticide treatment in their selected jurisdiction (province in Canada or state in the United States) and crop translates into habitat saved, calories produced, and mouths fed. This table allows the user to choose the country (Canada or United States), whether to include the organic agriculture correction factor, their state or province of interest, crop, and whether a young child, adolescent child, adult women, or adult man is being fed. The table will then calculate the hectares of habitat saved, added number of calories produced (kcal), the number of individual fed in one day, and the number of individual fed in one year. Due to the variability in yield results between crops and studies, the Excel user form allows individuals to set whichever yield increase they anticipate observing or use the 50th centile of yield increase from the cumulative frequency distribution for each crop.","2021-06 to  2021-12","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Environment and Geography. University of Manitoba.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/RDQWIK"
"96","Roots alter soil microbial diversity and interkingdom interactions in diversified agricultural landscapes","2022-01-25","Mafa-Attoye, Tolulope; Borden, Kira; Alvarez, Dasiel Obregón; Thevathasan, Naresh; Isaac, Marney; Dunfield, Kari","Agricultural Sciences; Earth and Environmental Sciences","microbial diversity; root functional traits; root exclusion; active microbiota; agroecosystems; mycorrhizal fungi; bacteria-fungi interactions; below-ground interactions","Experimental","In-situ trait-based and root exclusion experiment to determine the pattern of microbe interaction and their association with root functional traits across riparian buffer types in an agricultural landscape in southern Ontario, Canada. Using Amplicon-based analysis of 16S rRNA and ITS transcripts we evaluated soil bacterial, archaeal, and fungal communities, and their interactions, with ‘roots’ and with ‘no roots’ (root exclusion) in four plant communities at the edges of agricultural fields. Plants roots were measured for a suite of functional traits and explored in association with microbial community composition. Data consist of root functional traits from four riparian buffer types with four sampling plots each at two different sampling times (n=32).","2018-07-04 to  2018-08-15","School of Environmental Science. Ontario Agricultural College. University of Guelph.; Faculty of Land and Food Systems. University of British Columbia.; School of Environmental Science. Ontario Agricultural College. University of Guelph.; School of Environmental Science. Ontario Agricultural College. University of Guelph.; Department of Physical & Environmental Sciences. University of Toronto Scarborough.; School of Environmental Science. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/JPNP8X"
"97","Risk assessment of metals in community gardens: A case study in Winnipeg, Manitoba, Canada","2022-08-30","Senderewich, T.; Goltz, D.; Rodriguez-Gil, J. L.; Laird, B.; Prosser, R.S.; Hanson, M.L.","Earth and Environmental Sciences","metals; community gardens; human health risk assessment","Experimental data","The concentration of seven metals were measured in community gardens around the City of Winnipeg, MB, Canada for the purpose of assessing the risk of the metals to the health of individuals consuming fresh produce from the gardens.","2016-01 to  2017-01","University of Manitoba; University of Manitoba; University of Manitoba & International Institute of Sustainable Development – Experimental Lakes Area; University of Manitoba; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; NA","School of Environmental Sciences","doi:10.5683/SP3/MHTUPM"
"98","Potential Risk to Aquatic Biota from Aerial Application of Firefighting Water Additives","2022-09-06","Anderson, Jenna; Prosser, Ryan","Earth and Environmental Sciences","firefighting water additive; aquatic toxicity; Daphnia magna; Hyalella azteca; Tubifex tubifex","Experimental data","This is the raw data for the titled ""Potential Risk to Aquatic Biota from Aerial Application of Firefighting Water Additives"". The study investigated the toxicity of firefighting water additives to three aquatic species. The raw data from each toxicity test is deposited in this data repository.","2020-01 to  2022-09-04","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/8D3WRZ"
"99","Replication Data for: 1H-Nuclear Magnetic Resonance Metabolomics Analysis of Arabidopsis thaliana Exposed to Perfluorooctanic Acid and Perfluorooctanesulfonic Acid","2023-01-02","Longstaffe, James; O'Hara, Liam","Chemistry; Other","Arabidopsis thaliana; Perfluorooctanic Acid; Perfluorooctanesulfonic Acid; 1H-Nuclear Magnetic Resonance; Metabolomics analysis; Metabolism; Plant; Stress","Experimental data","This is the data used in the related publication ""1H-Nuclear Magnetic Resonance Metabolomics Analysis of Arabidopsis thaliana Exposed to Perfluorooctanic Acid and Perfluorooctanesulfonic Acid"" (O'Hara and Longstaffe, 2022). This study used 1H-NMR metabolomics to determine the effects of Perfluorooctanoic acid (PFOA) and Perfluorooctanesulfonic acid (PFOS) exposure on Arabidopsis thaliana."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/Q2PVNX"
"100","Supplemental data for: Comparison of established and novel insecticides on survival and reproduction of Folsomia candida","2023-02-01","Martin, William; Prosser, Ryan","Earth and Environmental Sciences","Folsomia candida; insecticides; survival; reproduction","Experimental data","In this study, the effects of six insecticides including two neonicotinoids (thiamethoxam, clothianidin), a diamide (cyantraniliprole), a ketoenol (spirotetramat), a pyridine (flonacamid), and a butanolide (flupyradifurone) on the survival and reproduction of the parthenogenic collembolan species Folsomia candida were investigated and compared. The raw data from this study has been deposited in their data repository. The neonicotinoids, the diamide, and the butanolide were found to have the most significant impact on survival and reproduction, while less significant effects and in some cases no effect on survival and reproduction were reported in the ketoenol and pyridine insecticides at the concentrations tested. All significant impacts were reported at concentrations below expected environmental concentrations of the active ingredients investigated in agricultural soils.","2020 to  2022","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/ITRL0V"
"101","Development of an embryo toxicity test to assess the comparative toxicity of metal exposure on different life stages of freshwater gastropods","2023-02-06","Prosser, Ryan; Osborne, Rebecca","Earth and Environmental Sciences","snail; environmental toxicology; embryo toxicity","Experimental data","Early life stages are commonly thought to be highly sensitive to environmental contaminants and may offer insight into the future health of a population. Despite the importance of studying early life stages, very few standard protocols for benthic invertebrates commonly used in ecotoxicological assessments measure developmental endpoints. The goal of the present study was to develop and optimize a robust standard protocol for studying embryonic endpoints in freshwater gastropods. The developed method was then used to characterize the sensitivity of numerous embryonic endpoints (viability, hatching, deformities, and biomass production), in conjunction with juvenile and adult mortality, for the snail Planorbella pilsbryi exposed to a suite of metals (Cu, Cd, & Ni). Biomass production was typically the most sensitive endpoint but was relatively variable while embryo hatching was slightly less sensitive but highly consistent for all three metals. However, no single embryonic endpoint was consistently the most sensitive which demonstrates the importance of assessing a broad range of endpoints, life stages, and organisms in ecotoxicological risk assessment. Interestingly, the embryonic life stage of P. pilsbryi was considerably less sensitive to Cu exposure compared with juvenile and adult mortality. However, for Cd exposure, embryonic endpoints were the most sensitive and for Ni exposure were similarly sensitive to juvenile and adult mortality. This study has valuable applications in conducting developmental toxicity research with organisms lacking standardized testing protocol as well as future applications in multi-generational and in silico toxicity research."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/PUFII5"
"102","Sterile Insect Technique as a Novel Tool for the Management of Pepper Weevil, Anthonomus eugenii Cano (Coleoptera: Curculionidae), in Greenhouse and Field Pepper Crops","2023-02-24","Basso, Jacob","Agricultural Sciences","Anthonomus eugenii; Capsicum annuum; gamma-radiation; pepper weevil; sterile insect technique; sterilization","Experimental data","The sterile insect technique (SIT) has been effectively used to genetically manage and even eradicate pest species across several insect families worldwide. The pepper weevil (PW), Anthonomus eugenii Cano (Coleoptera: Curculionidae), is an economically significant pest of Capsicum crops in North America for which current management strategies are often insufficient. As a PW-SIT program has yet to be considered, this foundational research determined that a gamma radiation dose of 110 Gy applied to PW pupae was necessary to induce > 99% sterility in females, and > 97% sterility in males, though the longevity, spontaneous flight activity, sperm production, and mating competitiveness of the sterile adults were negatively impacted by the treatment. Based on this work, a PW-SIT program could effectively and sustainably manage total PW populations in field or greenhouse pepper crops, and further research is recommended to ensure its success.","2021-02 to  2021-10","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/HTEONY"
"103","Development and Evaluation of a Novel Toxicity Test Method with Hyalella azteca to Optimize Reproduction Endpoints","2023-04-02","Khan, Hufsa N.; Prosser, Ryan S.","Earth and Environmental Sciences; Medicine, Health and Life Sciences","amphipod; ecotoxicology; Hyalella azteca","Experimental data","Hyalella azteca is a freshwater invertebrate used extensively in ecotoxicology. However, there are challenges associated with using reproduction as an endpoint in current standard methods, including: confounding effects of growth on reproduction, high biological variability associated with reproduction, and difficult recovery of juveniles from sediment. A novel, 28-d toxicity test method was created to optimize the reproduction endpoints by initiating tests with sexually mature amphipods to eliminate the confounding effects of growth, using a sex ratio of 2.3 females per male to reduce reproductive variability, and conducting tests in water-only conditions to improve juvenile recovery. The novel method was evaluated by comparing the sensitivity and reliability of reproduction data to standard methods. Reproduction endpoints produced similar results between methods, but the data were less variable in novel tests. The novel method shows promise to improve the use of reproduction as an endpoint in water-only toxicity tests with H. azteca.","2021 to  2022","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/HB2JWU"
"104","An assessment of the toxicity of pesticide mixtures in periphyton from agricultural streams to the mayfly Neocloeon triangulifer","2023-04-06","Prosser, Ryan","Earth and Environmental Sciences","riverine environments; pesticides; periphyton; Neocloeon triangulife","Experimental data","Ontario’s streams are susceptible to pesticide pollutants which are transported outside of the intended area of application from surrounding agricultural fields. Periphyton are a vital dietary component for grazing organisms in aquatic ecosystems but can also accumulate substantial levels of pesticides from the surrounding water. Consequently, grazing aquatic organisms are likely subjected to pesticide exposure through the consumption of pesticide contaminated periphyton. The objectives of this study were to determine if pesticides partition into periphyton in riverine environments across Southern Ontario, and if so, to determine the toxicity of pesticides in periphyton when fed to the grazing mayfly Neocloeon triangulifer. Ten sites across Southern Ontario were sampled between May-September 2021. Sites with low, medium, and high pesticide exposure based on historic water quality monitoring data were selected to incorporate a pesticide exposure gradient into the study design. Artificial substrate samplers were utilized to colonize periphyton in situ, which was then analyzed for the presence of ~500 pesticides. Results from this study demonstrate that periphyton is capable of accumulating pesticides in agricultural streams. A novel, 7-day toxicity test method was created to investigate the effects of pesticides partitioned into periphyton when fed to N. triangulifer. Periphyton collected from the field sites were fed to N. triangulifer and survival and biomass production were recorded. Survival and biomass production significantly decreased when fed periphyton colonized in streams with catchments dominated by agricultural land use (p<0.05). However, the relationship observed between pesticide concentration and survival or biomass production was not consistent. Using field colonized periphyton allowed us to assess dietary toxicity of environmentally relevant concentrations of pesticide mixtures, however nutrition and taxonomic composition of the periphyton may vary between sites. We recommend future research to simulate individual pesticide exposures to periphyton in the laboratory prior to performing these novel dietary toxicity assessments.","2021-05 to  2021-09","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/IRHXNF"
"105","Microbial Ecology of Dry Permafrost from Elephant Head, Antarctica - Supplementary Data","2023-04-18","Wood, Claudia","Earth and Environmental Sciences","permafrost; gene sequence; rRNA; ITS; microbial ecology; Arthrobacter species","Experiment data","Supplementary Data files for MSc thesis by Claudia Wood - ""Microbial Ecology of Dry Permafrost from Elephant Head, Antarctica"".  SupplementaryFile_1_16S_ASVs - contains 16S rRNA gene sequences, their closest environment match and contaminant ranking SupplementaryFile_2_ITS_ASVs - contains ITS2 gene sequences 
SupplementaryFile_3_Arthrobacter - contains description of Arthrobacter species including growth temperatures from the literature.","2022 to  2023","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/QIPXD0"
"106","Toxicity of 6PPD to freshwater invertebrates","2023-06-09","Prosser, Ryan","Earth and Environmental Sciences","Hexagenia spp.; Daphnia magna; Planorbella pilsbryi; 6PPD-quinone; toxicity","Experimental data","Raw data from toxicity tests with Hexagenia spp., Daphnia magna, Planorbella pilsbryi embryos exposed to 6PPD-quinone.","2022-10 to  2022-12","School of Environmental Science. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/NGPJGT"
"107","Terrestrial isopods generate microplastics from high-density polyethylene without effects on survival","2023-07-31","Prosser, Ryan","Earth and Environmental Sciences","terrestrial isopods; survival; microplastics; polyethylene","Experimental data","Raw data from study on terrestrial isopods generate microplastics from high-density polyethylene without effects on survival.","2022-09 to  2023-07","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/UMFF2N"
"108","Characterizing the Microplastic Content of Biosolids in Southern Ontario - raw data","2023-09-18","Prosser, Ryan; Letwin, Nick","Agricultural Sciences; Earth and Environmental Sciences","biosolids; microplastics","Experimental data","The raw data from a study on the microplastic content of biosolids collected from Southern Ontario. The title of the associated manuscript is ""Characterizing the Microplastic Content of Biosolids in Southern Ontario""."," to  ","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/CXLAPJ"
"109","Does size matter? Exploring trade-offs in reproduction, growth, and life history in the freshwater snail Planorbella pilsbryi","2023-09-18","Prosser, Ryan; Osborne, Rebecca","Earth and Environmental Sciences","snails; life history; Planorbella; freshwater snail","Experimental data","Raw for manuscript titled ""Does size matter? Exploring trade-offs in reproduction, growth, and life history in the freshwater snail Planorbella pilsbryi"".","2022-07 to  2022-09","School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.","School of Environmental Sciences","doi:10.5683/SP3/PH1NPS"
